Month,Cbs district,City symbol,Name,City or Regional council,Total jobseekers,Men,Weman,Academic,Non academic,Hh,Unemployed job seekers,Placement from reference,Estimated unemployed rate in city
2010-01,הדרום,1060,לקיה,יישוב,899,429,470,5,894,830,897,3,28.13%
2010-01,הדרום,1268,מיתר,יישוב,57,25,32,25,32,6,57,5,1.55%
2010-01,הדרום,99,מצפה רמון,יישוב,223,85,138,23,200,135,209,28,9.47%
2010-01,הדרום,246,נתיבות,יישוב,865,374,491,43,822,538,857,25,7.44%
2010-01,הדרום,666,עומר,יישוב,52,19,33,24,28,6,52,4,1.40%
2010-01,הדרום,2560,ערד,יישוב,1033,421,612,202,831,736,1014,64,8.18%
2010-01,הדרום,1192,ערערה-בנגב,יישוב,902,364,538,3,899,804,901,6,28.77%
2010-01,הדרום,2630,קריית גת,יישוב,2478,987,1491,207,2271,1729,2474,107,9.91%
2010-01,הדרום,1034,קריית מלאכי,יישוב,1191,525,666,32,1159,865,1180,41,11.04%
2010-01,הדרום,1161,רהט,יישוב,2925,1206,1719,8,2917,2605,2922,51,20.88%
2010-01,הדרום,1286,שגב-שלום,יישוב,530,220,310,1,529,483,529,5,25.82%
2010-01,הדרום,1031,שדרות,יישוב,809,337,472,49,760,443,807,30,7.49%
2010-01,הדרום,1054,תל שבע,יישוב,1153,555,598,5,1148,1035,1149,16,30.04%
2010-01,המרכז,182,אבן יהודה,יישוב,142,68,74,44,98,24,142,4,2.39%
2010-01,המרכז,41,אליכין,יישוב,47,20,27,4,43,13,47,1,3.00%
2010-01,המרכז,1309,אלעד,יישוב,362,167,195,34,328,108,360,9,3.43%
2010-01,המרכז,2530,באר יעקב,יישוב,238,111,127,36,202,88,232,8,3.33%
2010-01,המרכז,466,בית דגן,יישוב,111,61,50,17,94,38,111,4,3.40%
2010-01,המרכז,1066,"בני עי""ש",יישוב,189,87,102,37,152,95,185,6,4.80%
2010-01,המרכז,681,גבעת שמואל,יישוב,248,121,127,94,154,53,248,15,2.39%
2010-01,המרכז,2550,גדרה,יישוב,353,159,194,66,287,121,350,4,3.50%
2010-01,המרכז,627,ג'לג'וליה,יישוב,50,26,24,0,50,27,50,0,1.78%
2010-01,המרכז,166,גן יבנה,יישוב,325,132,193,42,283,107,324,18,3.37%
2010-01,המרכז,229,גני תקווה,יישוב,169,81,88,43,126,25,168,3,2.42%
2010-01,המרכז,9700,הוד השרון,יישוב,557,238,319,185,372,61,557,23,2.24%
2010-01,המרכז,1290,זמר,יישוב,181,65,116,3,178,136,181,5,7.42%
2010-01,המרכז,2730,טייבה,יישוב,2045,878,1167,7,2038,1745,2034,31,13.91%
2010-01,המרכז,2720,טירה,יישוב,274,136,138,3,271,177,273,10,3.08%
2010-01,המרכז,2660,יבנה,יישוב,959,434,525,69,890,526,953,36,5.32%
2010-01,המרכז,9400,יהוד,יישוב,477,196,281,60,417,90,459,20,3.15%
2010-01,המרכז,1224,כוכב יאיר,יישוב,85,35,50,47,38,4,85,1,1.62%
2010-01,המרכז,633,כפר ברא,יישוב,23,12,11,0,23,9,23,0,2.26%
2010-01,המרכז,168,כפר יונה,יישוב,352,146,206,50,302,99,348,17,3.70%
2010-01,המרכז,6900,כפר סבא,יישוב,1130,518,612,326,804,260,1124,42,2.46%
2010-01,המרכז,634,כפר קאסם,יישוב,175,88,87,2,173,104,175,1,2.70%
2010-01,המרכז,7000,לוד,יישוב,2255,946,1309,191,2064,1429,2235,198,6.82%
2010-01,המרכז,1200,מודיעין-מכבים-רעות*,יישוב,827,360,467,332,495,81,821,50,2.25%
2010-01,המרכז,28,מזכרת בתיה,יישוב,158,70,88,33,125,42,155,0,2.82%
2010-01,המרכז,7200,נס ציונה,יישוב,641,276,365,132,509,224,634,5,3.20%
2010-01,המרכז,7400,נתניה,יישוב,4514,2028,2486,740,3774,2173,4463,191,4.79%
2010-01,המרכז,587,סביון*,יישוב,16,7,9,7,9,1,16,0,0.99%
2010-01,המרכז,171,פרדסייה,יישוב,77,31,46,11,66,10,76,2,2.25%
2010-01,המרכז,7900,פתח תקווה,יישוב,3890,1742,2148,775,3115,1385,3871,86,3.59%
2010-01,המרכז,195,קדימה-צורן,יישוב,235,103,132,70,165,49,233,17,2.72%
2010-01,המרכז,638,קלנסווה,יישוב,930,376,554,1,929,763,922,19,12.95%
2010-01,המרכז,469,קריית עקרון,יישוב,251,125,126,18,233,129,249,5,4.69%
2010-01,המרכז,2640,ראש העין,יישוב,684,335,349,79,605,197,671,56,3.36%
2010-01,המרכז,8300,ראשון לציון,יישוב,4459,1971,2488,917,3542,1977,4443,121,3.54%
2010-01,המרכז,8400,רחובות,יישוב,2445,1088,1357,519,1926,1114,2412,63,4.25%
2010-01,המרכז,8500,רמלה,יישוב,1772,814,958,116,1656,983,1725,86,5.42%
2010-01,המרכז,8700,רעננה,יישוב,698,331,367,266,432,103,696,30,2.01%
2010-01,המרכז,1304,שוהם,יישוב,165,69,96,80,85,3,165,22,1.73%
2010-01,המרכז,154,תל מונד,יישוב,142,57,85,42,100,25,142,8,2.66%
2010-01,הצפון,473,אבו סנאן,יישוב,679,257,422,10,669,555,675,4,14.24%
2010-01,הצפון,478,אכסאל,יישוב,663,291,372,17,646,552,661,2,14.18%
2010-01,הצפון,529,אעבלין,יישוב,669,280,389,12,657,577,669,1,14.23%
2010-01,הצפון,482,בועיינה-נוג'ידאת,יישוב,503,214,289,5,498,425,499,1,15.80%
2010-01,הצפון,4001,בוקעאתא,יישוב,373,170,203,2,371,308,365,0,15.75%
2010-01,הצפון,998,ביר אל-מכסור,יישוב,425,177,248,2,423,324,424,0,14.20%
2010-01,הצפון,480,בית ג'ן,יישוב,333,110,223,3,330,242,331,2,8.07%
2010-01,הצפון,9200,בית שאן,יישוב,786,335,451,18,768,453,782,47,8.49%
2010-01,הצפון,944,בסמת טבעון,יישוב,308,117,191,3,305,243,308,3,11.34%
2010-01,הצפון,483,בענה,יישוב,464,193,271,1,463,419,464,1,16.53%
2010-01,הצפון,1292,ג'דיידה-מכר,יישוב,1393,595,798,6,1387,1178,1393,9,18.32%
2010-01,הצפון,485,ג'ולס,יישוב,182,65,117,6,176,117,182,3,7.82%
2010-01,הצפון,487,ג'ש (גוש חלב),יישוב,56,22,34,3,53,31,56,1,3.94%
2010-01,הצפון,489,דבורייה,יישוב,421,203,218,14,407,329,421,2,11.70%
2010-01,הצפון,490,דייר אל-אסד,יישוב,444,185,259,7,437,359,444,1,10.75%
2010-01,הצפון,492,דייר חנא,יישוב,666,298,368,13,653,517,666,4,16.97%
2010-01,הצפון,975,זרזיר,יישוב,303,126,177,2,301,217,299,9,12.36%
2010-01,הצפון,496,חורפיש,יישוב,138,50,88,7,131,100,138,1,6.67%
2010-01,הצפון,2034,חצור הגלילית,יישוב,285,127,158,13,272,155,282,22,6.51%
2010-01,הצפון,6700,טבריה,יישוב,1874,833,1041,110,1764,1297,1789,41,8.91%
2010-01,הצפון,962,טובא-זנגרייה,יישוב,355,163,192,3,352,266,352,19,13.33%
2010-01,הצפון,498,טורעאן,יישוב,565,219,346,11,554,470,563,8,12.29%
2010-01,הצפון,8900,טמרה,יישוב,2064,904,1160,20,2044,1832,2059,5,17.67%
2010-01,הצפון,1295,יאנוח-ג'ת,יישוב,159,56,103,5,154,115,159,6,7.54%
2010-01,הצפון,46,יבנאל,יישוב,109,68,41,6,103,79,103,0,7.92%
2010-01,הצפון,499,יפיע,יישוב,684,305,379,14,670,533,679,9,10.48%
2010-01,הצפון,240,יקנעם עילית,יישוב,535,190,345,106,429,256,532,35,5.22%
2010-01,הצפון,502,ירכא,יישוב,429,175,254,3,426,330,429,3,9.66%
2010-01,הצפון,504,כאבול,יישוב,777,365,412,22,755,644,774,0,18.62%
2010-01,הצפון,505,כאוכב אבו אל-היג'א,יישוב,230,84,146,5,225,185,230,0,16.11%
2010-01,הצפון,1296,כסרא-סמיע,יישוב,248,85,163,4,244,197,247,12,9.24%
2010-01,הצפון,978,כעביה-טבאש-חג'אג'רה,יישוב,225,99,126,2,223,159,224,4,11.93%
2010-01,הצפון,1263,כפר ורדים,יישוב,58,24,34,26,32,8,58,2,2.00%
2010-01,הצפון,507,כפר יאסיף,יישוב,443,187,256,4,439,359,443,5,10.53%
2010-01,הצפון,508,כפר כמא,יישוב,91,43,48,4,87,47,89,1,6.60%
2010-01,הצפון,509,כפר כנא,יישוב,1238,530,708,13,1225,1048,1223,17,16.79%
2010-01,הצפון,510,כפר מנדא,יישוב,880,428,452,13,867,673,869,8,14.81%
2010-01,הצפון,47,כפר תבור,יישוב,41,18,23,11,30,6,41,2,2.47%
2010-01,הצפון,1139,כרמיאל,יישוב,1729,660,1069,347,1382,1036,1684,60,6.86%
2010-01,הצפון,481,מגאר,יישוב,1451,596,855,34,1417,1246,1448,1,19.62%
2010-01,הצפון,516,מג'ד אל-כרום,יישוב,694,317,377,9,685,549,693,0,13.07%
2010-01,הצפון,874,מגדל העמק,יישוב,975,411,564,93,882,531,952,74,7.65%
2010-01,הצפון,4201,מג'דל שמס,יישוב,461,171,290,21,440,388,456,1,11.72%
2010-01,הצפון,517,מזרעה,יישוב,179,70,109,1,178,145,177,0,11.06%
2010-01,הצפון,4203,מסעדה,יישוב,181,66,115,3,178,153,180,0,12.56%
2010-01,הצפון,518,מעיליא,יישוב,66,29,37,7,59,36,66,2,4.74%
2010-01,הצפון,1063,מעלות-תרשיחא,יישוב,1072,444,628,140,932,717,1066,67,9.35%
2010-01,הצפון,520,משהד,יישוב,329,128,201,7,322,282,323,3,12.43%
2010-01,הצפון,9100,נהרייה,יישוב,2124,962,1162,251,1873,1419,2110,44,7.59%
2010-01,הצפון,522,נחף,יישוב,480,203,277,10,470,410,478,0,11.75%
2010-01,הצפון,7300,נצרת,יישוב,2006,979,1027,42,1964,1430,1999,7,7.14%
2010-01,הצפון,1061,נצרת עילית,יישוב,1626,709,917,254,1372,920,1567,118,7.01%
2010-01,הצפון,525,סאג'ור,יישוב,115,44,71,1,114,86,113,0,8.08%
2010-01,הצפון,7500,סח'נין,יישוב,2005,917,1088,27,1978,1720,2005,7,17.51%
2010-01,הצפון,4501,ע'ג'ר,יישוב,134,53,81,5,129,105,133,0,15.08%
2010-01,הצפון,530,עיילבון,יישוב,202,86,116,9,193,165,200,1,9.39%
2010-01,הצפון,511,עילוט,יישוב,329,143,186,2,327,258,329,2,14.22%
2010-01,הצפון,532,עין מאהל,יישוב,483,258,225,1,482,370,478,6,11.59%
2010-01,הצפון,7600,עכו,יישוב,3367,1521,1846,147,3220,2640,3345,40,13.80%
2010-01,הצפון,7700,עפולה,יישוב,1753,766,987,216,1537,1035,1704,51,7.85%
2010-01,הצפון,531,עראבה,יישוב,1340,580,760,31,1309,1150,1339,3,16.63%
2010-01,הצפון,535,פסוטה,יישוב,143,64,79,8,135,106,143,2,9.54%
2010-01,הצפון,536,פקיעין (בוקייעה),יישוב,156,80,76,7,149,115,154,3,6.57%
2010-01,הצפון,8000,צפת,יישוב,989,469,520,88,901,687,984,19,8.70%
2010-01,הצפון,4100,קצרין,יישוב,209,90,119,43,166,109,208,11,5.61%
2010-01,הצפון,2800,קריית שמונה,יישוב,821,405,416,71,750,392,801,52,6.53%
2010-01,הצפון,543,ראמה,יישוב,322,138,184,8,314,258,319,2,9.94%
2010-01,הצפון,26,ראש פינה,יישוב,54,25,29,7,47,21,53,5,3.86%
2010-01,הצפון,542,ריינה,יישוב,645,280,365,9,636,504,640,14,11.52%
2010-01,הצפון,122,רמת ישי,יישוב,93,34,59,31,62,10,91,7,2.50%
2010-01,הצפון,913,שבלי - אום אל-גנם,יישוב,286,143,143,4,282,205,283,2,12.98%
2010-01,הצפון,812,שלומי,יישוב,287,122,165,13,274,167,285,7,8.65%
2010-01,הצפון,538,שעב,יישוב,465,194,271,6,459,406,464,3,18.57%
2010-01,הצפון,8800,שפרעם,יישוב,2143,906,1237,26,2117,1810,2135,4,14.40%
2010-01,חיפה,2710,אום אל-פחם,יישוב,3339,1398,1941,10,3329,2821,3335,47,19.94%
2010-01,חיפה,1020,אור עקיבא,יישוב,576,258,318,53,523,221,562,17,6.23%
2010-01,חיפה,6000,באקה אל-גרביה,יישוב,492,278,214,5,487,289,491,15,NULL
2010-01,חיפה,9800,בנימינה-גבעת עדה*,יישוב,191,83,108,64,127,47,190,7,3.11%
2010-01,חיפה,1326,"בסמ""ה",יישוב,274,146,128,5,269,200,274,8,8.95%
2010-01,חיפה,541,ג'סר א-זרקא,יישוב,341,206,135,3,338,242,339,10,6.83%
2010-01,חיפה,628,ג'ת,יישוב,154,78,76,2,152,95,154,4,NULL
2010-01,חיפה,494,דאלית אל-כרמל,יישוב,489,208,281,8,481,321,487,2,7.21%
2010-01,חיפה,9300,זכרון יעקב,יישוב,216,85,131,62,154,45,216,9,2.40%
2010-01,חיפה,6500,חדרה,יישוב,2029,853,1176,259,1770,850,2006,56,4.60%
2010-01,חיפה,4000,חיפה,יישוב,8722,3695,5027,1673,7049,5994,8678,94,6.61%
2010-01,חיפה,1247,חריש-קציר,יישוב,26,12,14,4,22,14,26,0,1.59%
2010-01,חיפה,2100,טירת כרמל,יישוב,803,353,450,25,778,559,800,2,8.35%
2010-01,חיפה,654,כפר קרע,יישוב,285,140,145,8,277,149,284,11,4.21%
2010-01,חיפה,1327,מעלה עירון,יישוב,801,343,458,1,800,654,799,7,17.07%
2010-01,חיפה,2500,נשר,יישוב,621,275,346,140,481,339,619,11,5.07%
2010-01,חיפה,534,עספיא,יישוב,329,132,197,7,322,217,328,1,6.92%
2010-01,חיפה,637,ערערה,יישוב,418,204,214,5,413,251,418,11,6.43%
2010-01,חיפה,537,פוריידיס,יישוב,338,168,170,4,334,249,337,2,7.25%
2010-01,חיפה,7800,פרדס חנה-כרכור,יישוב,670,298,372,108,562,209,665,29,4.00%
2010-01,חיפה,6800,קריית אתא,יישוב,1989,782,1207,164,1825,1341,1981,34,7.40%
2010-01,חיפה,9500,קריית ביאליק,יישוב,1312,513,799,158,1154,788,1304,33,6.53%
2010-01,חיפה,2300,קריית טבעון,יישוב,195,87,108,62,133,60,195,7,2.59%
2010-01,חיפה,9600,קריית ים,יישוב,1930,822,1108,191,1739,1352,1924,48,9.57%
2010-01,חיפה,8200,קריית מוצקין,יישוב,1289,495,794,203,1086,775,1281,22,6.15%
2010-01,חיפה,922,רכסים,יישוב,157,83,74,11,146,108,155,1,5.73%
2010-01,ירושלים,472,אבו גוש,יישוב,272,129,143,1,271,187,272,4,11.19%
2010-01,ירושלים,2610,בית שמש,יישוב,1134,479,655,114,1020,637,1118,52,4.55%
2010-01,ירושלים,3000,ירושלים,יישוב,7949,3468,4481,1128,6821,4818,7913,211,3.21%
2010-01,ירושלים,1015,מבשרת ציון,יישוב,306,141,165,65,241,142,305,8,2.62%
2010-01,ירושלים,1137,קריית יערים,יישוב,19,6,13,3,16,9,19,0,1.92%
2010-01,תל אביב,2400,אור יהודה,יישוב,811,373,438,50,761,365,799,28,4.60%
2010-01,תל אביב,565,אזור,יישוב,148,74,74,20,128,50,148,4,2.53%
2010-01,תל אביב,6100,בני ברק,יישוב,2139,1005,1134,128,2011,1420,2127,93,4.63%
2010-01,תל אביב,6200,בת ים,יישוב,3544,1499,2045,581,2963,1861,3474,157,4.98%
2010-01,תל אביב,6300,גבעתיים,יישוב,656,292,364,254,402,129,654,30,2.40%
2010-01,תל אביב,6400,הרצלייה,יישוב,1112,483,629,305,807,195,1085,62,2.39%
2010-01,תל אביב,6600,חולון,יישוב,3129,1433,1696,504,2625,1214,3089,110,3.35%
2010-01,תל אביב,2620,קריית אונו,יישוב,407,180,227,167,240,69,406,10,2.51%
2010-01,תל אביב,8600,רמת גן,יישוב,2025,898,1127,610,1415,606,2008,84,2.82%
2010-01,תל אביב,2650,רמת השרון,יישוב,393,160,233,161,232,48,391,13,1.92%
2010-01,תל אביב,5000,תל אביב -יפו,יישוב,7402,3584,3818,1959,5443,3153,7339,220,3.20%
2010-02,אזור יהודה והשומרון,3760,אורנית,יישוב,85,37,48,37,48,3,85,3,2.28%
2010-02,אזור יהודה והשומרון,3750,אלפי מנשה,יישוב,98,42,56,28,70,7,96,2,2.38%
2010-02,אזור יהודה והשומרון,3560,אלקנה,יישוב,27,16,11,9,18,3,27,0,1.59%
2010-02,אזור יהודה והשומרון,3650,אפרתה,יישוב,60,31,29,24,36,10,60,8,1.70%
2010-02,אזור יהודה והשומרון,3570,אריאל,יישוב,456,213,243,124,332,140,455,58,4.56%
2010-02,אזור יהודה והשומרון,3574,בית אל,יישוב,46,22,24,19,27,16,46,2,2.17%
2010-02,אזור יהודה והשומרון,3652,בית אריה,יישוב,69,31,38,10,59,4,69,3,3.24%
2010-02,אזור יהודה והשומרון,3780,ביתר עילית,יישוב,348,166,182,14,334,183,343,14,4.12%
2010-02,אזור יהודה והשומרון,3730,גבעת זאב,יישוב,177,80,97,23,154,36,175,15,2.91%
2010-02,אזור יהודה והשומרון,3769,הר אדר,יישוב,33,14,19,21,12,4,33,1,1.92%
2010-02,אזור יהודה והשומרון,3797,מודיעין עילית,יישוב,271,101,170,16,255,80,270,14,2.61%
2010-02,אזור יהודה והשומרון,3616,מעלה אדומים,יישוב,651,272,379,96,555,241,643,60,3.64%
2010-02,אזור יהודה והשומרון,3660,עמנואל,יישוב,106,60,46,6,100,76,106,6,11.04%
2010-02,אזור יהודה והשומרון,3557,קדומים,יישוב,26,14,12,9,17,5,26,0,1.63%
2010-02,אזור יהודה והשומרון,3611,קריית ארבע,יישוב,125,66,59,23,102,66,125,8,4.48%
2010-02,אזור יהודה והשומרון,3640,קרני שומרון,יישוב,79,47,32,16,63,21,79,4,2.43%
2010-02,הדרום,31,אופקים,יישוב,1426,615,811,98,1328,1037,1416,76,12.56%
2010-02,הדרום,2600,אילת,יישוב,1691,809,882,83,1608,719,1670,128,5.42%
2010-02,הדרום,70,אשדוד,יישוב,7532,3034,4498,870,6662,4675,7467,485,7.45%
2010-02,הדרום,7100,אשקלון,יישוב,4053,1696,2357,632,3421,2295,3988,309,6.92%
2010-02,הדרום,9000,באר שבע,יישוב,8177,3558,4619,1039,7138,5465,8126,585,8.59%
2010-02,הדרום,2200,דימונה,יישוב,2138,945,1193,145,1993,1519,2106,140,12.02%
2010-02,הדרום,1303,חורה,יישוב,696,317,379,0,696,626,696,4,23.08%
2010-02,הדרום,831,ירוחם,יישוב,450,223,227,32,418,304,443,69,10.71%
2010-02,הדרום,1059,כסיפה,יישוב,983,442,541,1,982,876,982,28,26.31%
2010-02,הדרום,1271,להבים,יישוב,51,27,24,27,24,5,51,1,1.66%
2010-02,הדרום,1060,לקיה,יישוב,920,444,476,5,915,840,918,11,28.60%
2010-02,הדרום,1268,מיתר,יישוב,60,25,35,23,37,8,60,2,1.63%
2010-02,הדרום,99,מצפה רמון,יישוב,253,94,159,21,232,133,230,43,10.32%
2010-02,הדרום,246,נתיבות,יישוב,923,397,526,50,873,540,915,95,7.90%
2010-02,הדרום,666,עומר,יישוב,61,24,37,25,36,6,61,1,1.64%
2010-02,הדרום,2560,ערד,יישוב,1053,444,609,191,862,685,1027,121,8.28%
2010-02,הדרום,1192,ערערה-בנגב,יישוב,926,368,558,3,923,821,925,7,29.31%
2010-02,הדרום,2630,קריית גת,יישוב,2572,1029,1543,215,2357,1702,2562,185,10.22%
2010-02,הדרום,1034,קריית מלאכי,יישוב,1280,574,706,36,1244,871,1267,113,11.75%
2010-02,הדרום,1161,רהט,יישוב,2999,1246,1753,9,2990,2639,2996,28,21.30%
2010-02,הדרום,1286,שגב-שלום,יישוב,554,235,319,2,552,495,553,9,26.68%
2010-02,הדרום,1031,שדרות,יישוב,899,375,524,52,847,438,896,60,8.25%
2010-02,הדרום,1054,תל שבע,יישוב,1184,572,612,5,1179,1058,1180,12,30.60%
2010-02,המרכז,182,אבן יהודה,יישוב,170,83,87,58,112,25,169,14,2.84%
2010-02,המרכז,41,אליכין,יישוב,57,29,28,5,52,13,57,4,3.61%
2010-02,המרכז,1309,אלעד,יישוב,377,174,203,33,344,101,373,20,3.55%
2010-02,המרכז,2530,באר יעקב,יישוב,264,117,147,35,229,85,258,20,3.69%
2010-02,המרכז,466,בית דגן,יישוב,130,69,61,22,108,37,129,6,3.92%
2010-02,המרכז,1066,"בני עי""ש",יישוב,222,94,128,43,179,97,216,15,5.56%
2010-02,המרכז,681,גבעת שמואל,יישוב,260,125,135,102,158,52,260,12,2.50%
2010-02,המרכז,2550,גדרה,יישוב,395,166,229,78,317,119,389,21,3.87%
2010-02,המרכז,627,ג'לג'וליה,יישוב,59,29,30,0,59,31,59,2,2.10%
2010-02,המרכז,166,גן יבנה,יישוב,358,139,219,48,310,108,357,21,3.70%
2010-02,המרכז,229,גני תקווה,יישוב,183,87,96,50,133,26,181,13,2.60%
2010-02,המרכז,9700,הוד השרון,יישוב,605,262,343,205,400,60,603,37,2.42%
2010-02,המרכז,1290,זמר,יישוב,184,64,120,1,183,140,184,8,7.54%
2010-02,המרכז,2730,טייבה,יישוב,2131,930,1201,8,2123,1755,2121,36,14.42%
2010-02,המרכז,2720,טירה,יישוב,309,164,145,7,302,185,308,13,3.46%
2010-02,המרכז,2660,יבנה,יישוב,1100,524,576,73,1027,512,1097,100,6.08%
2010-02,המרכז,9400,יהוד,יישוב,587,245,342,81,506,89,560,59,3.82%
2010-02,המרכז,1224,כוכב יאיר,יישוב,97,40,57,43,54,4,96,2,1.83%
2010-02,המרכז,633,כפר ברא,יישוב,20,11,9,1,19,7,20,2,1.97%
2010-02,המרכז,168,כפר יונה,יישוב,386,157,229,61,325,99,380,40,4.03%
2010-02,המרכז,6900,כפר סבא,יישוב,1271,574,697,369,902,248,1262,80,2.75%
2010-02,המרכז,634,כפר קאסם,יישוב,216,112,104,2,214,112,215,5,3.30%
2010-02,המרכז,7000,לוד,יישוב,2331,1023,1308,197,2134,1350,2318,172,7.06%
2010-02,המרכז,1200,מודיעין-מכבים-רעות*,יישוב,900,385,515,348,552,68,892,105,2.44%
2010-02,המרכז,28,מזכרת בתיה,יישוב,165,74,91,34,131,40,163,10,2.96%
2010-02,המרכז,7200,נס ציונה,יישוב,716,323,393,164,552,216,709,33,3.57%
2010-02,המרכז,7400,נתניה,יישוב,4889,2248,2641,795,4094,2012,4825,427,5.16%
2010-02,המרכז,587,סביון*,יישוב,19,10,9,8,11,0,19,0,1.17%
2010-02,המרכז,171,פרדסייה,יישוב,85,31,54,15,70,10,83,4,2.45%
2010-02,המרכז,7900,פתח תקווה,יישוב,4364,1932,2432,857,3507,1370,4336,357,4.00%
2010-02,המרכז,195,קדימה-צורן,יישוב,245,109,136,72,173,44,244,21,2.85%
2010-02,המרכז,638,קלנסווה,יישוב,915,374,541,2,913,741,909,16,12.80%
2010-02,המרכז,469,קריית עקרון,יישוב,278,138,140,20,258,132,272,11,5.10%
2010-02,המרכז,2640,ראש העין,יישוב,739,374,365,81,658,193,722,80,3.60%
2010-02,המרכז,8300,ראשון לציון,יישוב,4809,2138,2671,972,3837,1894,4778,438,3.79%
2010-02,המרכז,8400,רחובות,יישוב,2680,1213,1467,572,2108,1079,2648,120,4.65%
2010-02,המרכז,8500,רמלה,יישוב,1972,905,1067,131,1841,930,1920,151,6.00%
2010-02,המרכז,8700,רעננה,יישוב,793,369,424,296,497,91,790,44,2.27%
2010-02,המרכז,1304,שוהם,יישוב,199,81,118,91,108,2,199,19,2.07%
2010-02,המרכז,154,תל מונד,יישוב,150,66,84,43,107,24,150,4,2.81%
2010-02,הצפון,473,אבו סנאן,יישוב,711,268,443,10,701,560,707,19,14.81%
2010-02,הצפון,478,אכסאל,יישוב,663,285,378,15,648,549,661,5,14.18%
2010-02,הצפון,529,אעבלין,יישוב,702,299,403,16,686,583,701,12,14.81%
2010-02,הצפון,482,בועיינה-נוג'ידאת,יישוב,519,219,300,4,515,438,515,1,16.22%
2010-02,הצפון,4001,בוקעאתא,יישוב,406,186,220,2,404,330,396,2,16.87%
2010-02,הצפון,998,ביר אל-מכסור,יישוב,450,191,259,2,448,345,449,6,14.91%
2010-02,הצפון,480,בית ג'ן,יישוב,351,124,227,5,346,246,349,8,8.47%
2010-02,הצפון,9200,בית שאן,יישוב,904,382,522,20,884,484,900,90,9.64%
2010-02,הצפון,944,בסמת טבעון,יישוב,326,129,197,2,324,256,326,13,11.93%
2010-02,הצפון,483,בענה,יישוב,470,196,274,1,469,422,470,7,16.71%
2010-02,הצפון,1292,ג'דיידה-מכר,יישוב,1445,615,830,8,1437,1196,1445,38,18.87%
2010-02,הצפון,485,ג'ולס,יישוב,207,79,128,8,199,127,207,19,8.80%
2010-02,הצפון,487,ג'ש (גוש חלב),יישוב,59,21,38,5,54,33,59,1,4.14%
2010-02,הצפון,489,דבורייה,יישוב,440,222,218,19,421,330,440,10,12.17%
2010-02,הצפון,490,דייר אל-אסד,יישוב,451,182,269,10,441,351,451,11,10.90%
2010-02,הצפון,492,דייר חנא,יישוב,688,310,378,16,672,532,688,26,17.43%
